Name	"node.degree"	"node.betw"	"node.stress"	"node.evcent"	"Clustering.Coefficient"	No. module	Zi	Pi
OTU58	23	1345.32805804354	4559926	0.0244971163958446	0.320158102766798	0	0.0253910755750717	0
OTU59	1	0	0	1.718556347217e-09	0	1	-1.01578218359171	0
OTU60	1	0	0	8.72118374674143e-13	0	3	-1.02036918685179	0
OTU61	2	0	0	2.44271185815668e-07	1	1	-0.867753624173824	0
OTU62	3	1.43088353194447	32	0.00383816418113581	0.333333333333333	0	-1.16643492080584	0
OTU63	10	7801.07039902127	7548381	4.15757950511392e-08	0.266666666666667	3	2.60586592334458	0.32
OTU64	7	7.22015523313477	87	9.35894829362035e-07	0.571428571428571	1	-0.127610827084386	0
OTU65	1	0	0	0.000222383346667831	0	22	0	0
OTU66	1	0	0	5.05390338283284e-47	0	34	0	0
OTU67	8	2578.3146330097	2396192	0.0145339316729232	0.464285714285714	2	0.339144528788014	0.59375
OTU69	9	90.1101576421715	886	0.0111992753559074	0.472222222222222	0	-0.868478421710614	0.197530864197531
OTU70	1	0	0	1.77807068570476e-08	0	4	-1.2924860661585	0
OTU71	1	0	0	8.28031530243332e-43	0	20	0	0
OTU72	3	1985	984911	3.19990656836889e-11	0	3	0.0156979874900276	0
OTU73	57	2945.32407457682	6687385	0.165180008122462	0.363408521303258	0	2.05149526942263	0
OTU74	13	1331.58979426929	5136764	0.0039574159400474	0.333333333333333	0	-0.749295822072523	0.390532544378698
OTU75	42	1205.34550674424	2264495	0.14695224098965	0.617886178861789	0	1.09803447231789	0.0464852607709751
OTU77	5	6.04931105594624	138	0.00637941372710126	0.6	6	-0.912870929175277	0.32
OTU78	1	0	0	5.24659379878855e-14	0	3	-1.02036918685179	0
OTU79	9	631.214341943918	1589602	1.21966734786385e-05	0.722222222222222	1	0.168446291751389	0
OTU80	2	0	0	3.66243278920278e-15	1	3	-0.502335599680883	0
OTU81	4	127.486147674218	39555	0.00138070098999585	0.5	2	-0.369975849586925	0.625
OTU82	2	0	0	7.64314800982202e-06	1	1	-0.867753624173824	0
OTU83	7	8.52520770784484	92	8.8877168770903e-06	0.714285714285714	1	-0.127610827084386	0
OTU84	4	344.404031066972	347848	6.30559711008087e-08	0	1	-0.571696505338049	0
OTU89	44	1031.6253643306	1365520	0.158450497165453	0.645877378435518	0	1.21721707195599	0.0444214876033058
OTU90	4	669	406353	6.52396327352137e-07	0.166666666666667	4	1.21645747403153	0
OTU92	8	167.470918832985	91094	0.00817673160179995	0.392857142857143	0	-0.868478421710614	0
OTU93	4	165.5	306711	1.65985303345088e-09	0.666666666666667	7	0.696733014291618	0
OTU94	12	3019.63637269215	5051342	0.00011665018387742	0.53030303030303	1	0.612531970005052	0
OTU95	42	1076.51955232296	2355172	0.154572420061584	0.682926829268293	0	1.03844317249885	0.090702947845805
OTU96	44	1331.32700601637	2544711	0.158317968964206	0.651162790697674	0	1.09803447231789	0.12706611570248
OTU98	12	787.588313671172	30997	0.0317743775686274	0.590909090909091	2	1.04826490716295	0.444444444444444
OTU99	3	165.477646203074	41207	2.40938333196672e-07	0.333333333333333	1	-0.719725064755936	0
OTU100	1	0	0	8.28031530243332e-43	0	28	0	0
OTU101	1	0	0	8.28031530243332e-43	0	25	0	0
OTU102	29	293.520741891117	74154	0.097123263507208	0.5935960591133	0	0.3233475746703	0.0665873959571937
OTU105	41	1063.87230518786	2381590	0.153737069367115	0.708536585365854	0	1.03844317249885	0.0475907198096373
OTU106	1	0	0	5.05390338283284e-47	0	40	0	0
OTU107	22	32.3449245173515	1367	0.0776895972455197	0.584415584415584	0	-0.034200224243974	0
OTU109	21	5295.59830982971	7375548	0.000128166614618327	0.385714285714286	1	1.94478900476604	0
OTU110	6	583.444243732916	984634	1.27083209074438e-09	0.533333333333333	3	1.56979874900276	0
OTU111	12	98.054019892568	19563	0.0391333966777777	0.560606060606061	0	-0.689704522253477	0.152777777777778
OTU112	5	674.197783787155	287667	1.20902368145517e-08	0.4	7	0.696733014291618	0.32
OTU113	54	428.274796300691	747231	0.159270650448611	0.362683438155136	0	1.87272136996549	0
OTU114	2	5.26507936507937	16	0.00011107747201735	0	17	0	0
OTU116	2	1	1	1.65606306048666e-42	0	21	0	0
OTU117	23	1258.21584476104	2105210	2.48721890276799e-06	0.162055335968379	1	2.24084612360181	0
OTU118	3	149.150460278959	164029	3.98976774497109e-08	0.666666666666667	3	-0.502335599680883	0.444444444444444
OTU120	1	0	0	3.38733205516761e-11	0	3	-1.02036918685179	0
OTU121	45	1273.31199134901	2588063	0.161068094322477	0.645454545454546	0	1.21721707195599	0.0849382716049383
OTU122	3	0	0	0.0124814613173267	1	0	-1.16643492080584	0
OTU123	5	335.936055840822	5396	0.0125230471160209	0.5	0	-1.04725232116775	0
OTU124	44	2117.3412517368	3086728	0.156773858675519	0.633192389006342	0	1.21721707195599	0.0444214876033058
OTU125	1	0	0	0.000115215737065538	0	19	0	0
OTU126	8	591.777178035539	5776	2.20908542245744e-07	0.25	1	0.0204177323335018	0
OTU127	4	857.471820799166	1641065	7.1397924372694e-11	0.333333333333333	3	0.533731574660938	0
OTU128	1	0	0	5.05390338283284e-47	0	31	0	0
OTU130	9	3871.18607133287	4664969	0.000115436618578063	0.611111111111111	1	0.168446291751389	0
OTU131	2	335	306715	4.55764181297635e-11	0	7	-0.557386411433294	0
OTU132	14	3674.21378042218	2897030	8.3005272068142e-06	0.230769230769231	1	0.908589088840827	0
OTU133	1	0	0	8.28031530243332e-43	0	28	0	0
OTU134	5	187.476541441671	122539	9.85013171688093e-06	0.4	1	-0.423667945920161	0
OTU135	46	207.519873049866	707474	0.166583239984612	0.658937198067633	0	1.39599097141312	0
OTU137	17	143.918969658435	1205	2.05532854364868e-05	0.448529411764706	1	1.35267476709449	0
OTU138	1	0	0	5.05390338283284e-47	0	33	0	0
OTU139	7	6.96905045715341	78	1.62681365919709e-06	0.571428571428571	1	-0.127610827084386	0
OTU140	3	483.588735647292	984502	1.18894116366768e-09	0	1	-0.867753624173824	0.444444444444444
OTU141	5	925.975917221234	44778	0.000148243402973003	0.3	5	1.80739222823013	0.32
OTU145	10	111.11596069933	1520	1.78794953879761e-06	0.577777777777778	1	0.316474851169277	0
OTU146	1	0	0	8.28031530243332e-43	0	21	0	0
OTU147	2	335	164156	6.49753266632119e-16	0	3	-0.502335599680883	0
OTU148	2	269.264214576273	20701	5.15016472633136e-09	0	3	-0.502335599680883	0
OTU149	13	235.898692532487	190850	0.0451192877608091	0.666666666666667	0	-0.689704522253477	0.260355029585799
OTU150	1	0	0	5.05390338283284e-47	0	44	0	0
OTU152	9	303.662334799971	1609934	0.0023460040101563	0.694444444444444	0	-0.808887121891568	0
OTU153	11	918.868153734756	3172097	0.00422418231457027	0.418181818181818	0	-0.808887121891568	0.314049586776859
OTU155	8	65.1421038541005	1369	0.0131556257696381	0.392857142857143	0	-0.868478421710614	0
OTU157	32	395.18155385073	366390	0.108445517629872	0.616935483870968	0	0.442530174308392	0.1171875
OTU159	1	0	0	1.24216152287226e-12	0	7	-1.18444612429575	0
OTU160	1	0	0	5.05390338283284e-47	0	58	0	0
OTU161	5	70.5947897188084	40862	3.64252981383083e-07	0.5	1	-0.423667945920161	0
OTU162	3	0	0	6.7073278233598e-07	1	4	0.380142960634853	0
OTU164	1	0	0	5.05390338283284e-47	0	56	0	0
OTU168	3	5	5	4.30742648932214e-39	0	11	1.75	0
OTU169	2	660	30408	3.04534902122748e-06	0	2	-0.369975849586925	0
OTU170	1	0	0	3.36457427652843e-11	0	3	-1.02036918685179	0
OTU174	1	0	0	1.77807068570476e-08	0	4	-1.2924860661585	0
OTU175	1	0	0	5.05390338283284e-47	0	54	0	0
OTU176	3	1001	492464	2.38223034448272e-14	0	3	0.0156979874900276	0
OTU178	2	25.5490540454568	146	0.000244896853693561	0	13	0	0
OTU179	20	167.383331037937	19655	0.0621581161080606	0.415789473684211	0	-0.153382823882065	0
OTU180	2	335	20979	9.75066044914356e-08	0	1	-0.867753624173824	0
OTU181	7	307.566858951497	1609948	0.00230037157334001	0.714285714285714	0	-0.92806972152966	0
OTU182	2	0	0	8.97693861251295e-11	1	10	-0.45146611838648	0
OTU184	14	1860.05003172203	2365387	8.5765339985867e-06	0.21978021978022	1	0.908589088840827	0
OTU186	1	0	0	1.52150614972729e-09	0	1	-1.01578218359171	0
OTU187	48	1305.88400531844	421692	0.154878488212199	0.533687943262411	0	1.39599097141312	0.0807291666666665
OTU188	19	1229.41989480359	2220015	2.48500775159313e-06	0.245614035087719	1	1.64873188593026	0
OTU189	2	0	0	2.33050947042954e-07	1	1	-0.867753624173824	0
OTU194	4	84.2370966183452	53298	0.0066504099721284	0.666666666666667	6	0	0.5
OTU195	4	1332.31922175474	57488	0.00283905375506734	0.166666666666667	5	-0.258198889747161	0.5
OTU199	1	0	0	5.05390338283284e-47	0	50	0	0
OTU201	6	310.691600171472	3154204	0.00035933598463633	0.466666666666667	0	-0.987661021348706	0
OTU202	2	8.74448836187967	30	0.000118155146223309	0	17	0	0
OTU205	40	1067.63637010979	2257090	0.144917901145301	0.655128205128205	0	0.859669273041712	0.13875
OTU207	11	473.341472206318	2145036	0.00250800086190609	0.545454545454545	0	-0.689704522253477	0
OTU208	15	138.33654598648	3040	0.0347993593064244	0.20952380952381	0	-0.451339322977294	0
OTU209	5	1003	45626	1.6643123675537e-07	0	2	1.75738528553789	0
OTU215	6	5.4840160109425	63	1.23397079104361e-06	0.666666666666667	1	-0.275639386502273	0
OTU222	5	396.059523809524	164375	1.23450356845252e-09	0.4	3	1.05176516183185	0
OTU223	1	0	0	5.05390338283284e-47	0	48	0	0
OTU224	2	0	0	0.000782400334409347	1	0	-1.22602622062489	0
OTU225	1	0	0	0.000115215737065538	0	19	0	0
OTU226	4	668	656430	7.05792305253771e-11	0.5	3	0.533731574660938	0
OTU227	3	668	41956	3.57498151643546e-06	0.333333333333333	1	-0.719725064755936	0
OTU228	3	2304	83613	0.000111571225287038	0	2	0.339144528788014	0
OTU231	9	1204.45760291901	371291	3.92849887060096e-07	0.277777777777778	1	0.0204177323335018	0.197530864197531
OTU233	1	0	0	5.05390338283284e-47	0	45	0	0
OTU234	2	0	0	1.01311064721187e-14	1	4	-0.456171552761823	0
OTU238	1	0	0	8.28031530243332e-43	0	24	0	0
OTU239	3	0.5	1	2.25493895281733e-09	0.666666666666667	3	0.0156979874900276	0
OTU242	1	0	0	8.28031530243332e-43	0	27	0	0
OTU244	19	39.9594972503638	28594	0.0605873167892557	0.596491228070175	0	-0.272565423520157	0.0997229916897509
OTU245	1	0	0	5.05390338283284e-47	0	39	0	0
OTU247	21	629.81364255274	743859	1.48067378617005e-05	0.328571428571429	1	1.94478900476604	0
OTU249	1	0	0	2.65748946521382e-09	0	1	-1.01578218359171	0
OTU250	1	0	0	5.05390338283284e-47	0	38	0	0
OTU255	2	1	1	1.65606306048666e-42	0	26	0	0
OTU257	1	0	0	5.05390338283284e-47	0	45	0	0
OTU259	11	85.9257499363382	628	1.60837381061834e-05	0.6	1	0.464503410587164	0
OTU260	16	4626.97254210039	8147598	0.000123913019193336	0.475	1	1.2046462076766	0
OTU261	11	335.028641634543	79349	0.0358112319782602	0.690909090909091	0	-0.808887121891568	0.297520661157025
OTU263	1	0	0	5.05390338283284e-47	0	36	0	0
OTU266	1	0	0	5.05390338283284e-47	0	35	0	0
OTU267	5	419.316056508297	12073	0.000177915070552319	0.4	5	0.774596669241483	0.48
OTU268	8	328.412192046237	7445	0.0138340497338304	0.392857142857143	0	-0.92806972152966	0.21875
OTU269	1	0	0	5.05390338283284e-47	0	35	0	0
OTU270	1	0	0	5.05390338283284e-47	0	33	0	0
OTU271	4	1.37142857142857	8	0.00502603046503572	0.5	0	-1.1068436209868	0
OTU272	6	1191.77712977975	165374	2.50402840396454e-07	0.2	1	-0.423667945920161	0.277777777777778
OTU276	17	554.527206023622	20829	0.0486921080376232	0.345588235294118	0	-0.391748023158248	0.110726643598616
OTU278	2	0	0	1.74578807952122e-10	1	10	-0.45146611838648	0
OTU279	12	26585.9474969431	35153532	0.00379219963197226	0.257575757575758	1	0.168446291751389	0.402777777777778
OTU281	1	0	0	5.05390338283284e-47	0	40	0	0
OTU282	1	0	0	8.28031530243332e-43	0	29	0	0
OTU283	4	1.55820841319569	74	0.0107585786287671	0.666666666666667	2	-1.07909622796186	0.375
OTU284	6	1161.87817920084	2461485	1.04042009162288e-10	0.266666666666667	3	1.05176516183185	0.277777777777778
OTU287	8	406.536819325241	2145985	0.00222564882870906	0.535714285714286	0	-0.868478421710614	0
OTU288	8	104.487602528698	290851	8.70029258185018e-06	0.678571428571429	1	0.0204177323335018	0
OTU289	2	0	0	0.000587711970851989	1	6	0	0
OTU290	1	0	0	5.05390338283284e-47	0	32	0	0
OTU291	4	572.991858904068	157067	0.00015791251926488	0.333333333333333	1	-0.867753624173824	0.5
OTU292	4	335	61767	0.00643859767446108	0.5	15	0	0
OTU293	1	0	0	9.86191423827284e-15	0	4	-1.2924860661585	0
OTU295	4	2401.90245209039	1149505	1.17234013720895e-09	0.166666666666667	3	0.533731574660938	0
OTU296	2	41.8458113790949	369	4.78418684864166e-09	0	1	-0.867753624173824	0
